,coef,std err,t,P>|t|,[0.025,0.975]
emotional_attachment_15,   57.8504,   24.065,    2.404, 0.017,   10.478,  105.223
emotional_attachment_16,  134.3088,   22.857,    5.876, 0.000,   89.313,  179.304
treatment_env x income_bin,   50.8906,   24.394,    2.086, 0.038,    2.869,   98.912
treatment_gov x income_bin,   -8.3467,   24.082,   -0.347, 0.729,  -55.752,   39.059
phone_cost,    0.0706,    0.016,    4.374, 0.000,    0.039,    0.102
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   26.3276,   14.111,    1.866, 0.063,   -1.450,   54.105
treatment_gov,   18.3914,   13.584,    1.354, 0.177,   -8.349,   45.131
ethnicity_BAME,   -2.9891,   10.456,   -0.286, 0.775,  -23.573,   17.595
gender_Male,  -15.3430,    9.362,   -1.639, 0.102,  -33.773,    3.087
age_bin,   -9.1983,   12.690,   -0.725, 0.469,  -34.180,   15.783
education_bin,    1.7115,    9.469,    0.181, 0.857,  -16.928,   20.351
employment_bin,    8.9145,   15.628,    0.570, 0.569,  -21.850,   39.679
income_bin,   -5.4767,   11.208,   -0.489, 0.625,  -27.541,   16.587
family_size_bin,    4.0009,   11.421,    0.350, 0.726,  -18.482,   26.484
emotional_attachment_2,   17.8364,   55.230,    0.323, 0.747,  -90.886,  126.558
emotional_attachment_3,   54.3121,   54.879,    0.990, 0.323,  -53.719,  162.343
emotional_attachment_4,   60.8809,   37.417,    1.627, 0.105,  -12.776,  134.537
emotional_attachment_5,   37.2921,   29.211,    1.277, 0.203,  -20.211,   94.795
emotional_attachment_6,   70.5243,   22.753,    3.099, 0.002,   25.733,  115.315
emotional_attachment_7,   78.5231,   23.320,    3.367, 0.001,   32.617,  124.429
emotional_attachment_8,   61.4761,   20.668,    2.974, 0.003,   20.790,  102.162
emotional_attachment_9,   70.3705,   18.940,    3.715, 0.000,   33.087,  107.654
emotional_attachment_10,   58.6053,   17.475,    3.354, 0.001,   24.204,   93.006
emotional_attachment_11,   64.5375,   20.478,    3.152, 0.002,   24.226,  104.849
emotional_attachment_12,   69.0953,   20.648,    3.346, 0.001,   28.449,  109.741
emotional_attachment_13,   49.0066,   20.389,    2.404, 0.017,    8.870,   89.143
emotional_attachment_14,   51.8414,   20.888,    2.482, 0.014,   10.722,   92.960
emotional_attachment_15,   47.3833,   23.831,    1.988, 0.048,    0.471,   94.295
emotional_attachment_16,  122.5873,   24.089,    5.089, 0.000,   75.167,  170.007
treatment_env x employment_bin,  -44.8389,   22.095,   -2.029, 0.043,  -88.333,   -1.345
treatment_gov x employment_bin,    4.0013,   22.041,    0.182, 0.856,  -39.388,   47.390
phone_cost,    0.0727,    0.016,    4.498, 0.000,    0.041,    0.104
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    2.6161,   12.937,    0.202, 0.840,  -22.850,   28.083
treatment_gov,   17.9319,   12.873,    1.393, 0.165,   -7.408,   43.272
ethnicity_BAME,   -2.4905,   10.538,   -0.236, 0.813,  -23.235,   18.254
gender_Male,  -13.9448,    9.438,   -1.478, 0.141,  -32.524,    4.634
age_bin,  -11.0064,   12.800,   -0.860, 0.391,  -36.204,   14.191
education_bin,    3.0298,    9.552,    0.317, 0.751,  -15.774,   21.834
employment_bin,   -4.2705,   10.224,   -0.418, 0.676,  -24.397,   15.856
income_bin,   -4.7388,   11.361,   -0.417, 0.677,  -27.104,   17.626
family_size_bin,   -5.3336,   18.311,   -0.291, 0.771,  -41.380,   30.713
emotional_attachment_2,   15.9029,   55.663,    0.286, 0.775,  -93.671,  125.477
emotional_attachment_3,   49.2369,   55.342,    0.890, 0.374,  -59.706,  158.180
emotional_attachment_4,   64.9087,   37.221,    1.744, 0.082,   -8.362,  138.179
emotional_attachment_5,   51.2363,   28.616,    1.791, 0.074,   -5.095,  107.567
emotional_attachment_6,   77.5100,   22.484,    3.447, 0.001,   33.250,  121.770
emotional_attachment_7,   82.3579,   23.493,    3.506, 0.001,   36.112,  128.604
emotional_attachment_8,   67.0874,   20.758,    3.232, 0.001,   26.224,  107.951
emotional_attachment_9,   79.1206,   18.731,    4.224, 0.000,   42.249,  115.993
emotional_attachment_10,   63.9156,   17.351,    3.684, 0.000,   29.759,   98.072
emotional_attachment_11,   69.1817,   20.176,    3.429, 0.001,   29.464,  108.899
emotional_attachment_12,   72.6265,   20.426,    3.556, 0.000,   32.417,  112.836
emotional_attachment_13,   56.3368,   20.399,    2.762, 0.006,   16.180,   96.493
emotional_attachment_14,   59.0468,   20.714,    2.851, 0.005,   18.270,   99.823
emotional_attachment_15,   53.3563,   24.092,    2.215, 0.028,    5.931,  100.781
emotional_attachment_16,  132.8813,   23.042,    5.767, 0.000,   87.522,  178.241
treatment_env x family_size_bin,   19.2382,   23.912,    0.805, 0.422,  -27.833,   66.309
treatment_gov x family_size_bin,    5.8409,   24.071,    0.243, 0.808,  -41.543,   53.225
phone_cost,    0.0726,    0.016,    4.444, 0.000,    0.040,    0.105
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   15.4261,   15.014,    1.027, 0.305,  -14.129,   44.981
treatment_gov,   27.2125,   15.049,    1.808, 0.072,   -2.412,   56.837
ethnicity_BAME,   -2.5729,   10.534,   -0.244, 0.807,  -23.310,   18.164
gender_Male,  -14.0685,    9.434,   -1.491, 0.137,  -32.640,    4.503
age_bin,  -11.4390,   12.773,   -0.896, 0.371,  -36.584,   13.706
education_bin,   13.4631,   15.524,    0.867, 0.387,  -17.097,   44.023
employment_bin,   -4.1007,   10.233,   -0.401, 0.689,  -24.245,   16.043
income_bin,   -5.7965,   11.393,   -0.509, 0.611,  -28.224,   16.632
family_size_bin,    3.2213,   11.519,    0.280, 0.780,  -19.453,   25.896
emotional_attachment_2,   10.1302,   56.106,    0.181, 0.857, -100.316,  120.576
emotional_attachment_3,   40.3777,   55.857,    0.723, 0.470,  -69.578,  150.333
emotional_attachment_4,   62.6573,   37.376,    1.676, 0.095,  -10.919,  136.234
emotional_attachment_5,   44.4157,   29.152,    1.524, 0.129,  -12.970,  101.802
emotional_attachment_6,   70.9521,   22.893,    3.099, 0.002,   25.887,  116.017
emotional_attachment_7,   75.5772,   24.019,    3.147, 0.002,   28.296,  122.859
emotional_attachment_8,   60.0922,   21.406,    2.807, 0.005,   17.953,  102.231
emotional_attachment_9,   72.5139,   19.264,    3.764, 0.000,   34.593,  110.435
emotional_attachment_10,   57.0358,   18.132,    3.146, 0.002,   21.343,   92.729
emotional_attachment_11,   63.6572,   20.736,    3.070, 0.002,   22.838,  104.476
emotional_attachment_12,   65.8725,   21.303,    3.092, 0.002,   23.937,  107.808
emotional_attachment_13,   49.2804,   21.144,    2.331, 0.020,    7.658,   90.903
emotional_attachment_14,   53.1662,   21.031,    2.528, 0.012,   11.766,   94.567
emotional_attachment_15,   45.5523,   25.037,    1.819, 0.070,   -3.734,   94.838
emotional_attachment_16,  129.3578,   23.436,    5.520, 0.000,   83.223,  175.493
treatment_env x education_bin,  -15.5136,   21.482,   -0.722, 0.471,  -57.801,   26.773
treatment_gov x education_bin,  -16.7515,   21.375,   -0.784, 0.434,  -58.829,   25.326
phone_cost,    0.0724,    0.016,    4.438, 0.000,    0.040,    0.105
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    5.9785,   11.685,    0.512, 0.609,  -17.025,   28.982
treatment_gov,   18.0821,   11.638,    1.554, 0.121,   -4.828,   40.992
ethnicity_BAME,   -2.9076,   10.551,   -0.276, 0.783,  -23.679,   17.863
gender_Male,  -14.1880,    9.463,   -1.499, 0.135,  -32.817,    4.440
age_bin,  -11.4192,   12.797,   -0.892, 0.373,  -36.610,   13.772
education_bin,    2.8783,    9.557,    0.301, 0.763,  -15.934,   21.691
employment_bin,   -4.2084,   10.252,   -0.411, 0.682,  -24.389,   15.972
income_bin,   -4.7195,   11.320,   -0.417, 0.677,  -27.003,   17.564
family_size_bin,    3.1281,   11.530,    0.271, 0.786,  -19.570,   25.826
emotional_attachment_2,    8.2517,   27.821,    0.297, 0.767,  -46.515,   63.018
emotional_attachment_3,   24.0237,   27.671,    0.868, 0.386,  -30.448,   78.496
emotional_attachment_4,   33.2418,   18.631,    1.784, 0.075,   -3.434,   69.918
emotional_attachment_5,   25.3504,   14.317,    1.771, 0.078,   -2.833,   53.534
emotional_attachment_6,   38.3520,   11.127,    3.447, 0.001,   16.447,   60.257
emotional_attachment_7,   40.7752,   11.726,    3.477, 0.001,   17.692,   63.858
emotional_attachment_8,   33.3909,   10.364,    3.222, 0.001,   12.988,   53.794
emotional_attachment_9,   39.2267,    9.315,    4.211, 0.000,   20.890,   57.563
emotional_attachment_10,   31.4415,    8.611,    3.651, 0.000,   14.491,   48.392
emotional_attachment_11,   34.3161,   10.108,    3.395, 0.001,   14.418,   54.215
emotional_attachment_12,   36.3136,   10.215,    3.555, 0.000,   16.205,   56.422
emotional_attachment_13,   23.8353,   12.512,    1.905, 0.058,   -0.796,   48.466
emotional_attachment_14,   29.0772,   10.279,    2.829, 0.005,    8.842,   49.312
emotional_attachment_15,   26.2819,   11.974,    2.195, 0.029,    2.710,   49.854
emotional_attachment_16,   67.0869,   11.550,    5.808, 0.000,   44.350,   89.824
emotional_attachment_2,    8.2517,   27.821,    0.297, 0.767,  -46.515,   63.018
emotional_attachment_3,   24.0237,   27.671,    0.868, 0.386,  -30.448,   78.496
emotional_attachment_4,   33.2418,   18.631,    1.784, 0.075,   -3.434,   69.918
emotional_attachment_5,   25.3504,   14.317,    1.771, 0.078,   -2.833,   53.534
emotional_attachment_6,   38.3520,   11.127,    3.447, 0.001,   16.447,   60.257
emotional_attachment_7,   40.7752,   11.726,    3.477, 0.001,   17.692,   63.858
emotional_attachment_8,   33.3909,   10.364,    3.222, 0.001,   12.988,   53.794
emotional_attachment_9,   39.2267,    9.315,    4.211, 0.000,   20.890,   57.563
emotional_attachment_10,   31.4415,    8.611,    3.651, 0.000,   14.491,   48.392
emotional_attachment_11,   34.3161,   10.108,    3.395, 0.001,   14.418,   54.215
emotional_attachment_12,   36.3136,   10.215,    3.555, 0.000,   16.205,   56.422
emotional_attachment_13,   23.8353,   12.512,    1.905, 0.058,   -0.796,   48.466
emotional_attachment_14,   29.0772,   10.279,    2.829, 0.005,    8.842,   49.312
emotional_attachment_15,   26.2819,   11.974,    2.195, 0.029,    2.710,   49.854
emotional_attachment_16,   67.0869,   11.550,    5.808, 0.000,   44.350,   89.824
treatment_env x emotional_attachment_13,   19.9184,   35.226,    0.565, 0.572,  -49.426,   89.263
treatment_gov x emotional_attachment_13,    8.9226,   33.386,    0.267, 0.789,  -56.799,   74.644
phone_cost,    0.0723,    0.016,    4.419, 0.000,    0.040,    0.105
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    1.6623,   14.103,    0.118, 0.906,  -26.101,   29.425
treatment_gov,   15.3712,   14.502,    1.060, 0.290,  -13.177,   43.919
ethnicity_BAME,   -3.7313,   10.635,   -0.351, 0.726,  -24.668,   17.205
gender_Male,  -21.8734,   14.961,   -1.462, 0.145,  -51.324,    7.577
age_bin,  -11.4900,   12.796,   -0.898, 0.370,  -36.679,   13.699
education_bin,    2.7598,    9.548,    0.289, 0.773,  -16.037,   21.556
employment_bin,   -3.7314,   10.238,   -0.364, 0.716,  -23.886,   16.423
income_bin,   -4.9473,   11.317,   -0.437, 0.662,  -27.226,   17.332
family_size_bin,    3.9219,   11.567,    0.339, 0.735,  -18.849,   26.692
emotional_attachment_2,   21.6044,   56.102,    0.385, 0.700,  -88.834,  132.043
emotional_attachment_3,   54.0655,   56.168,    0.963, 0.337,  -56.502,  164.633
emotional_attachment_4,   69.5841,   37.635,    1.849, 0.066,   -4.501,  143.669
emotional_attachment_5,   53.8043,   29.367,    1.832, 0.068,   -4.005,  111.613
emotional_attachment_6,   79.7391,   22.860,    3.488, 0.001,   34.739,  124.739
emotional_attachment_7,   83.2611,   24.032,    3.465, 0.001,   35.953,  130.569
emotional_attachment_8,   69.1388,   21.390,    3.232, 0.001,   27.033,  111.245
emotional_attachment_9,   80.7497,   19.316,    4.180, 0.000,   42.726,  118.774
emotional_attachment_10,   66.1218,   18.215,    3.630, 0.000,   30.264,  101.980
emotional_attachment_11,   71.3835,   21.041,    3.393, 0.001,   29.964,  112.803
emotional_attachment_12,   75.2752,   21.178,    3.554, 0.000,   33.585,  116.966
emotional_attachment_13,   58.3625,   21.275,    2.743, 0.006,   16.483,  100.242
emotional_attachment_14,   61.1828,   21.315,    2.870, 0.004,   19.224,  103.142
emotional_attachment_15,   56.1192,   24.686,    2.273, 0.024,    7.523,  104.715
emotional_attachment_16,  137.8233,   24.131,    5.711, 0.000,   90.320,  185.327
treatment_env x gender_Male,   16.1251,   21.984,    0.734, 0.464,  -27.151,   59.401
treatment_gov x gender_Male,    8.8103,   21.263,    0.414, 0.679,  -33.047,   50.667
phone_cost,    0.0717,    0.016,    4.377, 0.000,    0.039,    0.104
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   19.1216,   14.382,    1.330, 0.185,   -9.190,   47.433
treatment_gov,   25.5588,   14.435,    1.771, 0.078,   -2.857,   53.974
ethnicity_BAME,   10.9429,   16.323,    0.670, 0.503,  -21.190,   43.075
gender_Male,  -12.4473,    9.524,   -1.307, 0.192,  -31.195,    6.301
age_bin,  -12.8721,   12.811,   -1.005, 0.316,  -38.090,   12.346
education_bin,    3.0170,    9.547,    0.316, 0.752,  -15.777,   21.811
employment_bin,   -4.0119,   10.209,   -0.393, 0.695,  -24.109,   16.085
income_bin,   -4.1416,   11.310,   -0.366, 0.715,  -26.406,   18.123
family_size_bin,    4.0399,   11.518,    0.351, 0.726,  -18.633,   26.713
emotional_attachment_2,   11.8090,   55.800,    0.212, 0.833,  -98.034,  121.652
emotional_attachment_3,   41.3455,   55.418,    0.746, 0.456,  -67.747,  150.438
emotional_attachment_4,   56.5772,   38.147,    1.483, 0.139,  -18.517,  131.671
emotional_attachment_5,   42.1794,   29.135,    1.448, 0.149,  -15.174,   99.532
emotional_attachment_6,   70.1469,   22.736,    3.085, 0.002,   25.390,  114.904
emotional_attachment_7,   76.4908,   23.599,    3.241, 0.001,   30.036,  122.946
emotional_attachment_8,   58.1674,   21.444,    2.713, 0.007,   15.955,  100.380
emotional_attachment_9,   72.2128,   18.994,    3.802, 0.000,   34.823,  109.603
emotional_attachment_10,   57.0789,   17.827,    3.202, 0.002,   21.986,   92.172
emotional_attachment_11,   61.1971,   20.774,    2.946, 0.003,   20.303,  102.091
emotional_attachment_12,   66.3830,   20.862,    3.182, 0.002,   25.316,  107.450
emotional_attachment_13,   50.0362,   20.616,    2.427, 0.016,    9.454,   90.619
emotional_attachment_14,   50.9215,   21.296,    2.391, 0.017,    9.000,   92.843
emotional_attachment_15,   46.7766,   24.275,    1.927, 0.055,   -1.009,   94.562
emotional_attachment_16,  128.6417,   23.498,    5.475, 0.000,   82.385,  174.898
treatment_env x ethnicity_BAME,  -26.4795,   22.086,   -1.199, 0.232,  -69.957,   16.998
treatment_gov x ethnicity_BAME,  -15.6200,   21.763,   -0.718, 0.474,  -58.461,   27.221
phone_cost,    0.0707,    0.016,    4.331, 0.000,    0.039,    0.103
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   -0.9751,   12.435,   -0.078, 0.938,  -25.455,   23.504
treatment_gov,   21.3569,   12.289,    1.738, 0.083,   -2.834,   45.548
ethnicity_BAME,   -3.0976,   10.533,   -0.294, 0.769,  -23.833,   17.638
gender_Male,  -12.7799,    9.401,   -1.359, 0.175,  -31.286,    5.726
age_bin,  -23.3796,   19.882,   -1.176, 0.241,  -62.518,   15.759
education_bin,    2.1903,    9.489,    0.231, 0.818,  -16.490,   20.871
employment_bin,   -5.8028,   10.188,   -0.570, 0.569,  -25.859,   14.253
income_bin,   -4.5714,   11.267,   -0.406, 0.685,  -26.752,   17.609
family_size_bin,    5.2880,   11.513,    0.459, 0.646,  -17.375,   27.951
emotional_attachment_2,   19.2212,   56.103,    0.343, 0.732,  -91.219,  129.662
emotional_attachment_3,   57.8576,   55.921,    1.035, 0.302,  -52.225,  167.940
emotional_attachment_4,   60.7550,   37.388,    1.625, 0.105,  -12.844,  134.354
emotional_attachment_5,   44.5683,   28.479,    1.565, 0.119,  -11.493,  100.629
emotional_attachment_6,   76.5516,   22.078,    3.467, 0.001,   33.091,  120.012
emotional_attachment_7,   79.9941,   23.502,    3.404, 0.001,   33.730,  126.258
emotional_attachment_8,   63.2225,   20.679,    3.057, 0.002,   22.515,  103.930
emotional_attachment_9,   81.1328,   18.864,    4.301, 0.000,   43.998,  118.267
emotional_attachment_10,   63.8084,   17.199,    3.710, 0.000,   29.951,   97.666
emotional_attachment_11,   66.7695,   20.179,    3.309, 0.001,   27.046,  106.493
emotional_attachment_12,   73.1415,   20.438,    3.579, 0.000,   32.909,  113.374
emotional_attachment_13,   53.9235,   20.434,    2.639, 0.009,   13.698,   94.149
emotional_attachment_14,   58.2248,   20.395,    2.855, 0.005,   18.076,   98.373
emotional_attachment_15,   49.1413,   23.944,    2.052, 0.041,    2.006,   96.276
emotional_attachment_16,  135.8050,   22.924,    5.924, 0.000,   90.679,  180.931
treatment_env x age_bin,   41.3876,   26.653,    1.553, 0.122,  -11.079,   93.855
treatment_gov x age_bin,  -10.5465,   27.485,   -0.384, 0.701,  -64.652,   43.559
phone_cost,    0.0751,    0.016,    4.620, 0.000,    0.043,    0.107
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   -5.4928,   12.780,   -0.430, 0.668,  -30.650,   19.665
treatment_gov,   20.8443,   12.561,    1.659, 0.098,   -3.883,   45.572
ethnicity_BAME,   -3.8220,   10.443,   -0.366, 0.715,  -24.380,   16.736
gender_Male,  -14.8345,    9.340,   -1.588, 0.113,  -33.221,    3.552
age_bin,  -10.8591,   12.650,   -0.858, 0.391,  -35.760,   14.042
education_bin,    4.9055,    9.497,    0.517, 0.606,  -13.790,   23.601
employment_bin,   -3.6929,   10.121,   -0.365, 0.715,  -23.617,   16.231
income_bin,  -18.2515,   17.322,   -1.054, 0.293,  -52.350,   15.848
family_size_bin,    2.4289,   11.410,    0.213, 0.832,  -20.032,   24.889
emotional_attachment_2,   24.9013,   55.246,    0.451, 0.653,  -83.853,  133.655
emotional_attachment_3,   51.7993,   54.732,    0.946, 0.345,  -55.944,  159.542
emotional_attachment_4,   66.9629,   36.860,    1.817, 0.070,   -5.598,  139.523
emotional_attachment_5,   41.7356,   28.388,    1.470, 0.143,  -14.148,   97.619
emotional_attachment_6,   76.5953,   21.960,    3.488, 0.001,   33.367,  119.824
emotional_attachment_7,   81.8049,   23.461,    3.487, 0.001,   35.622,  127.988
emotional_attachment_8,   71.3225,   20.620,    3.459, 0.001,   30.731,  111.914
emotional_attachment_9,   82.0236,   18.612,    4.407, 0.000,   45.386,  118.662
emotional_attachment_10,   67.4054,   17.283,    3.900, 0.000,   33.383,  101.428
emotional_attachment_11,   74.4996,   20.246,    3.680, 0.000,   34.644,  114.355
emotional_attachment_12,   76.6391,   20.338,    3.768, 0.000,   36.604,  116.674
emotional_attachment_13,   59.4004,   20.311,    2.925, 0.004,   19.418,   99.383
emotional_attachment_14,   61.4182,   20.415,    3.009, 0.003,   21.231,  101.605
emotional_attachment_15,   57.8504,   24.065,    2.404, 0.017,   10.478,  105.223
emotional_attachment_16,  134.3088,   22.857,    5.876, 0.000,   89.313,  179.304
treatment_env x income_bin,   50.8906,   24.394,    2.086, 0.038,    2.869,   98.912
treatment_gov x income_bin,   -8.3467,   24.082,   -0.347, 0.729,  -55.752,   39.059
phone_cost,    0.0706,    0.016,    4.374, 0.000,    0.039,    0.102
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   26.3276,   14.111,    1.866, 0.063,   -1.450,   54.105
treatment_gov,   18.3914,   13.584,    1.354, 0.177,   -8.349,   45.131
ethnicity_BAME,   -2.9891,   10.456,   -0.286, 0.775,  -23.573,   17.595
gender_Male,  -15.3430,    9.362,   -1.639, 0.102,  -33.773,    3.087
age_bin,   -9.1983,   12.690,   -0.725, 0.469,  -34.180,   15.783
education_bin,    1.7115,    9.469,    0.181, 0.857,  -16.928,   20.351
employment_bin,    8.9145,   15.628,    0.570, 0.569,  -21.850,   39.679
income_bin,   -5.4767,   11.208,   -0.489, 0.625,  -27.541,   16.587
family_size_bin,    4.0009,   11.421,    0.350, 0.726,  -18.482,   26.484
emotional_attachment_2,   17.8364,   55.230,    0.323, 0.747,  -90.886,  126.558
emotional_attachment_3,   54.3121,   54.879,    0.990, 0.323,  -53.719,  162.343
emotional_attachment_4,   60.8809,   37.417,    1.627, 0.105,  -12.776,  134.537
emotional_attachment_5,   37.2921,   29.211,    1.277, 0.203,  -20.211,   94.795
emotional_attachment_6,   70.5243,   22.753,    3.099, 0.002,   25.733,  115.315
emotional_attachment_7,   78.5231,   23.320,    3.367, 0.001,   32.617,  124.429
emotional_attachment_8,   61.4761,   20.668,    2.974, 0.003,   20.790,  102.162
emotional_attachment_9,   70.3705,   18.940,    3.715, 0.000,   33.087,  107.654
emotional_attachment_10,   58.6053,   17.475,    3.354, 0.001,   24.204,   93.006
emotional_attachment_11,   64.5375,   20.478,    3.152, 0.002,   24.226,  104.849
emotional_attachment_12,   69.0953,   20.648,    3.346, 0.001,   28.449,  109.741
emotional_attachment_13,   49.0066,   20.389,    2.404, 0.017,    8.870,   89.143
emotional_attachment_14,   51.8414,   20.888,    2.482, 0.014,   10.722,   92.960
emotional_attachment_15,   47.3833,   23.831,    1.988, 0.048,    0.471,   94.295
emotional_attachment_16,  122.5873,   24.089,    5.089, 0.000,   75.167,  170.007
treatment_env x employment_bin,  -44.8389,   22.095,   -2.029, 0.043,  -88.333,   -1.345
treatment_gov x employment_bin,    4.0013,   22.041,    0.182, 0.856,  -39.388,   47.390
phone_cost,    0.0727,    0.016,    4.498, 0.000,    0.041,    0.104
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    2.6161,   12.937,    0.202, 0.840,  -22.850,   28.083
treatment_gov,   17.9319,   12.873,    1.393, 0.165,   -7.408,   43.272
ethnicity_BAME,   -2.4905,   10.538,   -0.236, 0.813,  -23.235,   18.254
gender_Male,  -13.9448,    9.438,   -1.478, 0.141,  -32.524,    4.634
age_bin,  -11.0064,   12.800,   -0.860, 0.391,  -36.204,   14.191
education_bin,    3.0298,    9.552,    0.317, 0.751,  -15.774,   21.834
employment_bin,   -4.2705,   10.224,   -0.418, 0.676,  -24.397,   15.856
income_bin,   -4.7388,   11.361,   -0.417, 0.677,  -27.104,   17.626
family_size_bin,   -5.3336,   18.311,   -0.291, 0.771,  -41.380,   30.713
emotional_attachment_2,   15.9029,   55.663,    0.286, 0.775,  -93.671,  125.477
emotional_attachment_3,   49.2369,   55.342,    0.890, 0.374,  -59.706,  158.180
emotional_attachment_4,   64.9087,   37.221,    1.744, 0.082,   -8.362,  138.179
emotional_attachment_5,   51.2363,   28.616,    1.791, 0.074,   -5.095,  107.567
emotional_attachment_6,   77.5100,   22.484,    3.447, 0.001,   33.250,  121.770
emotional_attachment_7,   82.3579,   23.493,    3.506, 0.001,   36.112,  128.604
emotional_attachment_8,   67.0874,   20.758,    3.232, 0.001,   26.224,  107.951
emotional_attachment_9,   79.1206,   18.731,    4.224, 0.000,   42.249,  115.993
emotional_attachment_10,   63.9156,   17.351,    3.684, 0.000,   29.759,   98.072
emotional_attachment_11,   69.1817,   20.176,    3.429, 0.001,   29.464,  108.899
emotional_attachment_12,   72.6265,   20.426,    3.556, 0.000,   32.417,  112.836
emotional_attachment_13,   56.3368,   20.399,    2.762, 0.006,   16.180,   96.493
emotional_attachment_14,   59.0468,   20.714,    2.851, 0.005,   18.270,   99.823
emotional_attachment_15,   53.3563,   24.092,    2.215, 0.028,    5.931,  100.781
emotional_attachment_16,  132.8813,   23.042,    5.767, 0.000,   87.522,  178.241
treatment_env x family_size_bin,   19.2382,   23.912,    0.805, 0.422,  -27.833,   66.309
treatment_gov x family_size_bin,    5.8409,   24.071,    0.243, 0.808,  -41.543,   53.225
phone_cost,    0.0726,    0.016,    4.444, 0.000,    0.040,    0.105
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,   15.4261,   15.014,    1.027, 0.305,  -14.129,   44.981
treatment_gov,   27.2125,   15.049,    1.808, 0.072,   -2.412,   56.837
ethnicity_BAME,   -2.5729,   10.534,   -0.244, 0.807,  -23.310,   18.164
gender_Male,  -14.0685,    9.434,   -1.491, 0.137,  -32.640,    4.503
age_bin,  -11.4390,   12.773,   -0.896, 0.371,  -36.584,   13.706
education_bin,   13.4631,   15.524,    0.867, 0.387,  -17.097,   44.023
employment_bin,   -4.1007,   10.233,   -0.401, 0.689,  -24.245,   16.043
income_bin,   -5.7965,   11.393,   -0.509, 0.611,  -28.224,   16.632
family_size_bin,    3.2213,   11.519,    0.280, 0.780,  -19.453,   25.896
emotional_attachment_2,   10.1302,   56.106,    0.181, 0.857, -100.316,  120.576
emotional_attachment_3,   40.3777,   55.857,    0.723, 0.470,  -69.578,  150.333
emotional_attachment_4,   62.6573,   37.376,    1.676, 0.095,  -10.919,  136.234
emotional_attachment_5,   44.4157,   29.152,    1.524, 0.129,  -12.970,  101.802
emotional_attachment_6,   70.9521,   22.893,    3.099, 0.002,   25.887,  116.017
emotional_attachment_7,   75.5772,   24.019,    3.147, 0.002,   28.296,  122.859
emotional_attachment_8,   60.0922,   21.406,    2.807, 0.005,   17.953,  102.231
emotional_attachment_9,   72.5139,   19.264,    3.764, 0.000,   34.593,  110.435
emotional_attachment_10,   57.0358,   18.132,    3.146, 0.002,   21.343,   92.729
emotional_attachment_11,   63.6572,   20.736,    3.070, 0.002,   22.838,  104.476
emotional_attachment_12,   65.8725,   21.303,    3.092, 0.002,   23.937,  107.808
emotional_attachment_13,   49.2804,   21.144,    2.331, 0.020,    7.658,   90.903
emotional_attachment_14,   53.1662,   21.031,    2.528, 0.012,   11.766,   94.567
emotional_attachment_15,   45.5523,   25.037,    1.819, 0.070,   -3.734,   94.838
emotional_attachment_16,  129.3578,   23.436,    5.520, 0.000,   83.223,  175.493
treatment_env x education_bin,  -15.5136,   21.482,   -0.722, 0.471,  -57.801,   26.773
treatment_gov x education_bin,  -16.7515,   21.375,   -0.784, 0.434,  -58.829,   25.326
phone_cost,    0.0724,    0.016,    4.438, 0.000,    0.040,    0.105
,coef,std err,t,P>|t|,[0.025,0.975]
treatment_env,    5.9785,   11.685,    0.512, 0.609,  -17.025,   28.982
treatment_gov,   18.0821,   11.638,    1.554, 0.121,   -4.828,   40.992
ethnicity_BAME,   -2.9076,   10.551,   -0.276, 0.783,  -23.679,   17.863
gender_Male,  -14.1880,    9.463,   -1.499, 0.135,  -32.817,    4.440
age_bin,  -11.4192,   12.797,   -0.892, 0.373,  -36.610,   13.772
education_bin,    2.8783,    9.557,    0.301, 0.763,  -15.934,   21.691
employment_bin,   -4.2084,   10.252,   -0.411, 0.682,  -24.389,   15.972
income_bin,   -4.7195,   11.320,   -0.417, 0.677,  -27.003,   17.564
family_size_bin,    3.1281,   11.530,    0.271, 0.786,  -19.570,   25.826
emotional_attachment_2,    8.2517,   27.821,    0.297, 0.767,  -46.515,   63.018
emotional_attachment_3,   24.0237,   27.671,    0.868, 0.386,  -30.448,   78.496
emotional_attachment_4,   33.2418,   18.631,    1.784, 0.075,   -3.434,   69.918
emotional_attachment_5,   25.3504,   14.317,    1.771, 0.078,   -2.833,   53.534
emotional_attachment_6,   38.3520,   11.127,    3.447, 0.001,   16.447,   60.257
emotional_attachment_7,   40.7752,   11.726,    3.477, 0.001,   17.692,   63.858
emotional_attachment_8,   33.3909,   10.364,    3.222, 0.001,   12.988,   53.794
emotional_attachment_9,   39.2267,    9.315,    4.211, 0.000,   20.890,   57.563
