StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Phone ownership,Phone ownership_4_TEXT,phone cost_1,State of phone,State of phone_5_TEXT,Brand of phone,Brand of phone_4_TEXT,Attachments_1,Attachments_2,Attachments_3,Attachments_4,control - q_1,control - why,control - why_4_TEXT,env - q_1,env - why?,env - why?_4_TEXT,gov - q_1,gov - why,gov - why_4_TEXT,Gender,Gender_4_TEXT,Age,Ethnicity,Education,Education_8_TEXT,Employment status,Income,Family size
2022-02-18 07:10:30,2022-02-18 07:12:41,IP Address,137.220.85.157,100,131,True,2022-02-18 07:12:42,R_2XgJxyd2ExuzR1y,,,,,51.5359954833984375,-0.092498779296875,anonymous,EN,Yes,Bought outright,,142,Brand New,,Samsung (Galaxy),,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,64,,,,,,,,,Male,,25 - 34,White: Any other White background,Master's degree,,In full-time employment,"£10,000 to £19,999",1
2022-02-18 07:06:11,2022-02-18 07:13:16,IP Address,78.149.72.37,100,424,True,2022-02-18 07:13:16,R_3Jbf6dw7KNp0CfO,,,,,51.44830322265625,-0.1383056640625,anonymous,EN,Yes,Bought outright,,350,Brand New,,Apple (iPhone),,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,65,,,,,,,,,Male,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time education,Not sure,None
2022-02-18 07:09:05,2022-02-18 07:13:18,IP Address,80.5.0.129,100,252,True,2022-02-18 07:13:18,R_3248xVLFzhJTqcH,,,,,51.453094482421875,-0.0137939453125,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 07:13:43,2022-02-18 07:13:54,Spam,80.5.0.129,100,11,True,2022-02-18 07:13:55,R_3390DyJUV6wp3sD,,,,,51.453094482421875,-0.0137939453125,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 07:11:45,2022-02-18 07:14:37,IP Address,82.132.246.241,100,171,True,2022-02-18 07:14:37,R_1ponyXoqBb5kuS2,,,,,52.506195068359375,-1.9425048828125,anonymous,EN,Yes,"Other, please specify","Bought on Contract -My Employer pays monthly ",489,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,,,,21,,,,,,Male,,18 - 24,White: Any other White background,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None
2022-02-18 07:12:45,2022-02-18 07:14:41,IP Address,82.132.239.125,100,115,True,2022-02-18 07:14:41,R_1pXt7bmGoq8cWJd,,,,,53.480194091796875,-2.18670654296875,anonymous,EN,Yes,Bought outright,,710,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,45,,,,,,Female,,25 - 34,Mixed / Multiple ethnic groups: Asian and White,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None
2022-02-18 07:14:08,2022-02-18 07:17:12,IP Address,146.169.185.33,100,183,True,2022-02-18 07:17:12,R_3ekHIfYRt35i4v9,,,,,51.4889984130859375,-0.214996337890625,anonymous,EN,Yes,Bought on contract - fully paid,,600,Brand New,,Apple (iPhone),,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,204,,,Female,,18 - 24,Asian / Asian British: Chinese,Master's degree,,Not in employment,"Less than £10,000",None
2022-02-18 07:16:41,2022-02-18 07:20:24,IP Address,5.151.106.3,100,222,True,2022-02-18 07:20:26,R_2TYtBkME2uSMMY5,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought on contract - fully paid,,998,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,0,Repairability is not a priority for me,,,,,,,,Male,,18 - 24,Asian / Asian British: Chinese,Master's degree,,Not in employment,Prefer not to say,3
2022-02-18 07:16:26,2022-02-18 07:21:31,IP Address,146.169.157.122,100,305,True,2022-02-18 07:21:31,R_Zesd3XIs6y54zPr,,,,,51.5005035400390625,-0.1905059814453125,anonymous,EN,Yes,Bought outright,,746,Brand New,,Samsung (Galaxy),,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,,,,,,,121,,,Male,,25 - 34,Any other ethnic group,Doctoral degree,,In full-time employment,"£10,000 to £19,999",None
2022-02-18 07:14:18,2022-02-18 07:24:15,IP Address,46.208.6.108,100,596,True,2022-02-18 07:24:15,R_Teo1H0p1NNDBeX7,,,,,51.4770050048828125,-0.1959075927734375,anonymous,EN,Yes,Bought outright,,251,Brand New,,Apple (iPhone),,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,,,,50,,,,,,Female,,18 - 24,White: Any other White background,Master's degree,,In full-time education,"Less than £10,000",1
2022-02-18 07:22:16,2022-02-18 07:24:25,IP Address,90.252.171.211,100,128,True,2022-02-18 07:24:25,R_2tJB3ImPdlZ1P9Y,,,,,51.2279052734375,-2.526092529296875,anonymous,EN,Yes,Bought outright,,703,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,,,,,,,95,,,Female,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Master's degree,,In full-time employment,"£40,000 to £49,999",None
2022-02-18 07:26:08,2022-02-18 07:29:21,IP Address,2.103.144.99,100,193,True,2022-02-18 07:29:21,R_PZAWsL9naevhyOB,,,,,51.4429931640625,-0.329498291015625,anonymous,EN,Yes,Bought outright,,99,Brand New,,"Other, please specify",Motorola,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,10,,,,,,,,,Male,,55 - 64,White: British / English / Northern Irish / Scottish / Welsh,Doctoral degree,,In part-time employment,"£30,000 to £39,999",None
2022-02-18 07:24:51,2022-02-18 07:30:21,IP Address,91.12.173.113,100,330,True,2022-02-18 07:30:21,R_spSlmvp95ZV0i65,,,,,48.3943023681640625,11.731903076171875,anonymous,EN,Yes,Bought outright,,401,Brand New,,Samsung (Galaxy),,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,,,,50,,,,,,Female,,55 - 64,White: Any other White background,Doctoral degree,,In full-time employment,"£50,000 to £59,999",None
2022-02-18 07:31:15,2022-02-18 07:31:37,IP Address,86.166.219.159,100,21,True,2022-02-18 07:31:37,R_2aRAoKl90PbzvE9,,,,,52.675506591796875,-2.7615966796875,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 07:28:35,2022-02-18 07:32:31,IP Address,13.125.126.117,100,235,True,2022-02-18 07:32:31,R_1Cl8AC5pNHQ7z8h,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes,Bought outright,,725,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,100,,,,,,,,,Prefer not to say,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In full-time education,Not sure,None
2022-02-18 07:33:12,2022-02-18 07:37:16,IP Address,185.44.78.91,100,243,True,2022-02-18 07:37:16,R_25WyMgtU8rdwDs8,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought on contract - fully paid,,300,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,55,,,,,,Female,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time education,Prefer not to say,None
2022-02-18 07:39:11,2022-02-18 07:42:18,IP Address,94.4.254.89,100,187,True,2022-02-18 07:42:20,R_30lePtiL0uXJFKk,,,,,51.6875,-1.24029541015625,anonymous,EN,Yes,Bought on contract - fully paid,,500,Brand New,,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,80,,,,,,,,,Male,,18 - 24,Mixed / Multiple ethnic groups: Asian and White,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None
2022-02-18 07:37:58,2022-02-18 07:42:18,IP Address,178.238.11.228,100,260,True,2022-02-18 07:42:20,R_1K15HnX03MfX1tI,,,,,51.5164031982421875,-0.0930023193359375,anonymous,EN,Yes,Bought outright,,382,Brand New,,"Other, please specify","Crosscall (French Brand, Android)",Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,,,,,,,100,,,Male,,18 - 24,White: Any other White background,Master's degree,,In full-time education,"£10,000 to £19,999",None
2022-02-18 07:42:48,2022-02-18 07:45:18,IP Address,82.0.224.17,100,149,True,2022-02-18 07:45:18,R_29oVA4jZ7MJoERT,,,,,51.6674041748046875,-0.61480712890625,anonymous,EN,Yes,Bought outright,,716,Brand New,,Apple (iPhone),,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,99,,,,,,Female,,55 - 64,Asian / Asian British: Indian,Master's degree,,In full-time employment,"£50,000 to £59,999",2
2022-02-18 07:47:48,2022-02-18 07:50:00,IP Address,42.106.240.193,100,131,True,2022-02-18 07:50:00,R_2Y3MevNswwKLewG,,,,,19.074798583984375,72.8856048583984375,anonymous,EN,Yes,Bought outright,,1024,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,251,,,Female,,25 - 34,Asian / Asian British: Indian,Master's degree,,In full-time education,"Less than £10,000",None
2022-02-18 07:48:43,2022-02-18 07:52:07,IP Address,51.7.61.30,100,203,True,2022-02-18 07:52:07,R_SV2jKwv8csGSifn,,,,,53.4141998291015625,-2.227996826171875,anonymous,EN,Yes,Bought outright,,584,Brand New,,Apple (iPhone),,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,100,,,,,,,,,Female,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Doctoral degree,,In full-time employment,"£40,000 to £49,999",None
2022-02-18 07:56:48,2022-02-18 08:00:27,IP Address,86.190.20.4,100,218,True,2022-02-18 08:00:27,R_1rcxVv1EEsXcCYu,,,,,50.7998046875,0.0485992431640625,anonymous,EN,Yes,Bought outright,,196,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,,,,,,,100,,,Female,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,"Less than £10,000",None
2022-02-18 07:59:45,2022-02-18 08:03:24,IP Address,185.69.145.41,100,219,True,2022-02-18 08:03:25,R_qFy4asncZa85zLH,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,280,Brand New,,"Other, please specify",Xiaomi,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,,,,140,,,,,,Male,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£60,000 to £69,999",1
2022-02-18 08:03:16,2022-02-18 08:03:41,IP Address,94.13.177.196,100,25,True,2022-02-18 08:03:41,R_1LRmgLsp1agNNxq,,,,,51.4250946044921875,-0.1519927978515625,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 08:04:32,2022-02-18 08:04:46,IP Address,86.190.20.4,100,13,True,2022-02-18 08:04:46,R_1gFsD3htFhD94VS,,,,,50.7998046875,0.0485992431640625,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 08:05:15,2022-02-18 08:05:23,Spam,86.190.20.4,100,7,True,2022-02-18 08:05:23,R_yDzniRgrFuCT8I1,,,,,50.7998046875,0.0485992431640625,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 08:07:08,2022-02-18 08:08:03,IP Address,81.101.225.190,100,54,True,2022-02-18 08:08:03,R_AMqerPx4h5A4Z33,,,,,51.6013031005859375,-0.2635955810546875,anonymous,EN,Yes,Bought outright,,525,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Google (Pixel),,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,,,,,,,321,,,Female,,35 - 44,Black / Black British: African,Secondary school (up to 16 years),,Not in employment,"Less than £10,000",None
2022-02-18 08:09:52,2022-02-18 08:12:21,IP Address,5.151.106.3,100,148,True,2022-02-18 08:12:21,R_3f0CX5hxOiwpLQB,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,1128,Brand New,,Apple (iPhone),,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,,,,0,"Other, please specify","The technology slows down over time e.g. processing speed and stuff which I don’t think is accounted for. Plus I can recycle my phone ",,,,Male,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In full-time education,Prefer not to say,None
2022-02-18 07:58:55,2022-02-18 08:16:24,IP Address,183.143.160.189,100,1048,True,2022-02-18 08:16:25,R_2tbU6Ggcxw3bQVT,,,,,29.1645965576171875,119.99700927734375,anonymous,EN,Yes,Bought outright,,740,Brand New,,"Other, please specify",HUAWEI,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,74,,,,,,,,,Female,,45 - 54,Asian / Asian British: Chinese,Undergraduate degree,,Self employed,"£30,000 to £39,999",1
2022-02-18 08:17:38,2022-02-18 08:18:24,IP Address,82.2.100.144,100,45,True,2022-02-18 08:18:24,R_2Ve7Nqmls79421H,,,,,51.45599365234375,-0.06109619140625,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 08:19:15,2022-02-18 08:19:23,IP Address,86.153.78.161,100,8,True,2022-02-18 08:19:24,R_1GxDZDJ4GKJDKE3,,,,,51.6114959716796875,-0.249603271484375,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 08:23:19,2022-02-18 08:28:43,IP Address,148.252.128.201,100,323,True,2022-02-18 08:28:43,R_Dwt9ICFQYirNhlL,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,140,Brand New,,Samsung (Galaxy),,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,50,,,,,,,,,Male,,55 - 64,White: British / English / Northern Irish / Scottish / Welsh,Doctoral degree,,In full-time employment,"£60,000 to £69,999",1
2022-02-18 08:31:39,2022-02-18 08:38:18,IP Address,129.31.224.172,100,398,True,2022-02-18 08:38:18,R_wTt6OwznXECjIrL,,,,,51.5005035400390625,-0.1905059814453125,anonymous,EN,Yes,Bought outright,,701,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,233,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,Not in employment,Not sure,None
2022-02-18 08:31:03,2022-02-18 08:40:39,IP Address,165.225.17.175,100,576,True,2022-02-18 08:40:39,R_1pYZZlK550TZVzl,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,699,Brand New,,"Other, please specify",OnePlus,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,,,,,,,350,,,Male,,25 - 34,White: Any other White background,Master's degree,,In full-time employment,"£20,000 to £29,999",None
2022-02-18 09:03:17,2022-02-18 09:06:22,IP Address,86.137.124.27,100,184,True,2022-02-18 09:06:22,R_27d1W4NyiY6JycW,,,,,51.482696533203125,-0.1614990234375,anonymous,EN,Yes,Bought outright,,700,Brand New,,Apple (iPhone),,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,50,,,,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,Not in employment,"Less than £10,000",None
2022-02-18 09:04:38,2022-02-18 09:07:41,IP Address,185.69.144.78,100,183,True,2022-02-18 09:07:42,R_3ekrsrL6drn18Oe,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,205,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,51,,,,,,Female,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time education,Prefer not to say,None
2022-02-18 09:08:33,2022-02-18 09:08:49,IP Address,85.255.233.124,100,16,True,2022-02-18 09:08:49,R_2WGxRQUhCHRPUcM,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 09:03:27,2022-02-18 09:11:11,IP Address,85.255.237.13,100,464,True,2022-02-18 09:11:11,R_2Eb3vGGv6xcL60g,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,597,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,,,,,,,101,,,Female,,18 - 24,Asian / Asian British: Chinese,Master's degree,,Not in employment,Not sure,3
2022-02-18 09:08:53,2022-02-18 09:11:45,IP Address,85.255.233.124,100,171,True,2022-02-18 09:11:45,R_BStAQWZ8XEUZQKB,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,1122,Brand New,,Apple (iPhone),,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,0,It should be the producer's responsibility to pay,,,,,Female,,25 - 34,Prefer not to say,Undergraduate degree,,In full-time education,"£80,000 to £89,999",None
2022-02-18 09:09:12,2022-02-18 09:13:24,IP Address,31.205.201.88,100,252,True,2022-02-18 09:13:24,R_1mRCmRosTQ3Q5kg,,,,,51.5113067626953125,-0.271392822265625,anonymous,EN,Yes,Bought outright,,1000,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,150,,,,,,Female,,18 - 24,Asian / Asian British: Pakistani,Undergraduate degree,,In full-time education,"£50,000 to £59,999",None
2022-02-18 09:17:59,2022-02-18 09:18:11,Spam,85.255.233.124,100,11,True,2022-02-18 09:18:11,R_1OHTKiKqYNJ7D5m,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 09:31:06,2022-02-18 09:33:42,IP Address,145.8.180.199,100,156,True,2022-02-18 09:33:43,R_1kUOsjzf9DElVZf,,,,,52.4835968017578125,4.685394287109375,anonymous,EN,Yes,Bought outright,,1008,Brand New,,Samsung (Galaxy),,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,,,,,,,100,,,Male,,55 - 64,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£60,000 to £69,999",None
2022-02-18 09:29:50,2022-02-18 09:35:36,IP Address,37.161.174.240,100,346,True,2022-02-18 09:35:37,R_1ptms0O4NZOihkt,,,,,43.1479034423828125,12.1096954345703125,anonymous,EN,Yes,"Other, please specify","Old phone from family member ",501,"Other, please specify","Secondhand - family member ",Apple (iPhone),,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,151,,,,,,,,,Female,,18 - 24,White: Roma,Undergraduate degree,,In full-time education,Not sure,None
2022-02-18 09:33:05,2022-02-18 09:37:34,IP Address,81.178.131.85,100,269,True,2022-02-18 09:37:35,R_3McBRth2MjC8MSD,,,,,51.1670074462890625,0.2382965087890625,anonymous,EN,Yes,"Other, please specify",hand me down from my son,0,"Other, please specify",secondhand gift,Google (Pixel),,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,0,"Other, please specify",repairability is important to me but i can't afford a fair phone and the cameras are rubbish on them from seeing my friends,,,,Female,,45 - 54,White: British / English / Northern Irish / Scottish / Welsh,Master's degree,,In full-time education,"Less than £10,000",1
2022-02-18 09:38:59,2022-02-18 09:42:32,IP Address,85.115.54.201,100,212,True,2022-02-18 09:42:32,R_3M5V8HRQOVLjydQ,,,,,51.4853973388671875,-0.3050994873046875,anonymous,EN,Yes,Bought outright,,382,Brand New,,"Other, please specify",OPPO,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,,,,,,,20,,,Male,,45 - 54,Asian / Asian British: Indian,Undergraduate degree,,In full-time employment,"£100,000 to £149,999",2
2022-02-18 07:04:48,2022-02-18 09:43:26,IP Address,146.169.217.223,100,9518,True,2022-02-18 09:43:27,R_3GeQJhpygI3qdyW,,,,,51.509002685546875,-0.188201904296875,anonymous,EN,Yes,Bought outright,,350,Brand New,,Apple (iPhone),,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,50,,,,,,,,,Male,,25 - 34,White: Any other White background,Undergraduate degree,,Not in employment,"£20,000 to £29,999",None
2022-02-18 09:44:45,2022-02-18 09:49:27,IP Address,146.169.220.230,100,282,True,2022-02-18 09:49:27,R_eMd0zl4SzF9S5AB,,,,,51.4911956787109375,-0.189300537109375,anonymous,EN,Yes,Bought outright,,521,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,,,,50,,,,,,Female,,18 - 24,White: Any other White background,Undergraduate degree,,In full-time education,"Less than £10,000",None
2022-02-18 09:45:53,2022-02-18 09:50:02,IP Address,92.232.9.120,100,249,True,2022-02-18 09:50:02,R_8k2z3S4qxQqDRTz,,,,,53.3376007080078125,-1.4770965576171875,anonymous,EN,Yes,"Other, please specify",Bought outright but over 2 years interest free,1100,Brand New,,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,50,,,,,,,,,Male,,45 - 54,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",2
2022-02-18 09:47:17,2022-02-18 09:51:45,IP Address,217.39.111.87,100,268,True,2022-02-18 09:51:46,R_Zn226WLS7HC0wOl,,,,,51.58929443359375,-2.99310302734375,anonymous,EN,Yes,Bought outright,,680,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,,,,,,,200,,,Male,,55 - 64,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£70,000 to £79,999",None
2022-02-18 09:50:43,2022-02-18 09:53:19,IP Address,5.151.106.3,100,155,True,2022-02-18 09:53:19,R_1gzSgMA9fPo8tWY,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,650,Brand New,,Apple (iPhone),,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,,,,,,,30,,,Male,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,Not in employment,Not sure,None
2022-02-18 10:01:31,2022-02-18 10:04:20,IP Address,92.233.183.234,100,168,True,2022-02-18 10:04:20,R_24hBdcejp2I8qnI,,,,,51.5157928466796875,-0.42340087890625,anonymous,EN,Yes,Bought outright,,351,Brand New,,Samsung (Galaxy),,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,,,,102,,,,,,Male,,18 - 24,Asian / Asian British: Indian,Master's degree,,In full-time education,"Less than £10,000",None
2022-02-18 10:03:33,2022-02-18 10:05:14,IP Address,81.151.87.17,100,100,True,2022-02-18 10:05:14,R_dm1mcc4ZmS3FwAh,,,,,51.65179443359375,-0.19329833984375,anonymous,EN,Yes,Bought outright,,601,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,,,,100,,,Male,,18 - 24,Asian / Asian British: Indian,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None
2022-02-18 10:10:00,2022-02-18 10:11:27,IP Address,109.146.94.194,100,86,True,2022-02-18 10:11:27,R_d73O5cSoPyw8ShX,,,,,56.1089019775390625,-3.2563018798828125,anonymous,EN,Yes,Bought outright,,993,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,156,,,,,,,,,Female,,18 - 24,Black / Black British: Any other Black / Black British background,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None
2022-02-18 10:01:21,2022-02-18 10:13:17,IP Address,90.195.74.65,100,715,True,2022-02-18 10:13:18,R_6Rtnjis8vZBqORP,,,,,53.567596435546875,-1.5839996337890625,anonymous,EN,Yes,Bought outright,,320,Brand New,,"Other, please specify",Nokia,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,,,,40,,,,,,Male,,75 - 84,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,Not in employment,"£40,000 to £49,999",None
2022-02-18 10:15:16,2022-02-18 10:19:43,IP Address,109.123.74.74,100,267,True,2022-02-18 10:19:44,R_9ypCC7EITRKBQIx,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,253,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,,,,,,,105,,,Male,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Master's degree,,In full-time education,"Less than £10,000",None
2022-02-18 10:17:40,2022-02-18 10:22:07,IP Address,182.35.54.175,100,266,True,2022-02-18 10:22:07,R_2wB7HfuKhKDLqoZ,,,,,31.343902587890625,121.31048583984375,anonymous,EN,Yes,Bought outright,,482,Brand New,,Samsung (Galaxy),,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,,,,71,,,,,,Male,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In part-time employment,"Less than £10,000",None
2022-02-18 10:22:09,2022-02-18 10:25:02,IP Address,105.180.222.43,100,173,True,2022-02-18 10:25:03,R_3JKukEH13yySTe3,,,,,30.0778045654296875,31.2852020263671875,anonymous,EN,Yes,Bought outright,,568,Brand New,,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,200,,,,,,,,,Female,,18 - 24,Mixed / Multiple ethnic groups: Any other Mixed / Multiple ethnic groups background,Undergraduate degree,,In part-time employment,"Less than £10,000",None
2022-02-18 10:24:48,2022-02-18 10:28:07,IP Address,128.84.124.233,100,198,True,2022-02-18 10:28:07,R_2Sfdq7mbqYHE5Ym,,,,,42.44439697265625,-76.4925994873046875,anonymous,EN,Yes,Bought outright,,800,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,,,,201,,,,,,Male,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In full-time education,"£20,000 to £29,999",None
2022-02-18 10:28:16,2022-02-18 10:30:05,IP Address,90.221.229.235,100,108,True,2022-02-18 10:30:06,R_vZYqGshAgCgPeY9,,,,,51.358001708984375,-0.8520965576171875,anonymous,EN,Yes,Bought outright,,199,Brand New,,"Other, please specify",Poco,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,30,,,Female,,45 - 54,White: British / English / Northern Irish / Scottish / Welsh,Doctoral degree,,In full-time employment,Prefer not to say,3
2022-02-18 10:47:41,2022-02-18 10:49:13,IP Address,85.255.237.114,100,91,True,2022-02-18 10:49:13,R_1C2fHA1gBstXKcO,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,411,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,,,,,,,51,,,Female,,18 - 24,Asian / Asian British: Pakistani,Master's degree,,In full-time employment,"£30,000 to £39,999",None
